"Interval start","BBR_1","BBR_2"
0,1.06579e+07,0
1,1.63641e+07,0
2,4.49061e+06,0
3,1.40807e+07,0
4,1.16451e+07,0
5,1.43852e+07,0
6,1.40807e+07,0
7,1.50702e+07,0
8,8.29621e+06,0
9,9.13344e+06,0
10,7.15453e+06,2.74168e+06
11,5.63229e+06,7.83954e+06
12,1.67446e+06,3.65338e+06
13,1.97891e+06,9.43789e+06
14,1.82669e+06,7.6112e+06
15,1.82669e+06,9.514e+06
16,5.25173e+06,8.2201e+06
17,7.15453e+06,4.64283e+06
18,5.86062e+06,3.50115e+06
19,1.37002e+06,380560
20,3.50115e+06,685008
21,5.86062e+06,989456
22,8.82899e+06,989456
23,8.44843e+06,2.13114e+06
24,4.03394e+06,5.55618e+06
25,2.89226e+06,3.95782e+06
26,2.89226e+06,3.88171e+06
27,7.38286e+06,2.05502e+06
28,1.05796e+07,2.28336e+06
29,1.01229e+07,2.28336e+06
30,8.29621e+06,1.9028e+06
31,7.23064e+06,4.26227e+06
32,3.88171e+06,5.17562e+06
33,9.514e+06,1.9028e+06
34,8.2201e+06,2.43558e+06
35,8.14398e+06,2.43558e+06
36,7.6112e+06,5.7084e+06
37,8.9051e+06,1.06557e+06
38,6.92619e+06,4.56672e+06
39,7.07842e+06,4.18616e+06
40,1.52224e+06,8.52454e+06
41,2.13114e+06,761648
42,2.28336e+06,0
43,4.87117e+06,0
44,6.92619e+06,0
45,1.79624e+07,0
46,1.78863e+07,0
47,1.78863e+07,0
48,1.86474e+07,0
49,6.08896e+06,0
50,2.28336e+06,0
51,1.67446e+06,0
52,2.43558e+06,0
53,1.82722e+06,0
