"Interval start","BBR_1","BBR_2"
0,7.66221e+06,0
1,1.92563e+07,0
2,1.06557e+07,0
3,1.37002e+07,0
4,1.49941e+07,0
5,1.80385e+07,0
6,1.38524e+07,0
7,1.87997e+07,0
8,1.52224e+07,0
9,1.58313e+07,0
10,1.13407e+07,2.0572e+06
11,7.99176e+06,380560
12,304448,6.46952e+06
13,1.14168e+06,1.67446e+06
14,1.37002e+06,2.58781e+06
15,1.21779e+06,2.74003e+06
16,989456,9.13344e+06
17,1.37002e+06,1.27107e+07
18,5.32784e+06,7.45898e+06
19,1.14929e+07,837232
20,3.72949e+06,1.52224e+06
21,2.43558e+06,1.82669e+06
22,2.89226e+06,1.82669e+06
23,3.04448e+06,5.0995e+06
24,2.89226e+06,9.13344e+06
25,1.9028e+06,8.14398e+06
26,2.13114e+06,8.37232e+06
27,2.13114e+06,1.0199e+07
28,4.03394e+06,1.02751e+07
29,6.54563e+06,5.93674e+06
30,4.64283e+06,4.71894e+06
31,3.04448e+06,1.21779e+06
32,3.57726e+06,1.67446e+06
33,2.81614e+06,1.67446e+06
34,3.34893e+06,1.67446e+06
35,3.34893e+06,2.28336e+06
36,4.26227e+06,6.16507e+06
37,6.01285e+06,5.86062e+06
38,5.86062e+06,5.48006e+06
39,5.17562e+06,4.94728e+06
40,3.65338e+06,7.15453e+06
41,1.39285e+07,685008
42,8.52454e+06,1.75058e+06
43,8.75288e+06,1.82669e+06
44,1.23301e+07,1.67499e+06
45,1.47657e+07,0
46,9.81845e+06,0
47,1.14168e+07,0
48,2.01697e+07,0
49,1.7658e+07,0
50,9.64026e+06,0
