"Interval start","BBR_1","BBR_2"
0,3.60872e+06,0
1,6.00984e+06,0
2,6.18782e+06,0
3,6.27102e+06,0
4,5.85555e+06,0
5,6.23522e+06,0
6,6.09304e+06,0
7,5.42902e+06,0
8,5.82027e+06,0
9,8.60746e+06,0
10,7.36104e+06,0
11,8.74805e+06,60624
12,8.61851e+06,36336
13,7.5048e+06,847280
14,6.5559e+06,1.43598e+06
15,6.75758e+06,1.70822e+06
16,7.12408e+06,1.62397e+06
17,8.68907e+06,95312
18,8.74752e+06,12112
19,8.41578e+06,296464
20,5.93981e+06,2.16898e+06
21,4.2437e+06,4.06677e+06
22,4.05466e+06,4.05624e+06
23,3.44962e+06,4.97933e+06
24,3.9367e+06,4.25634e+06
25,3.37906e+06,4.89613e+06
26,3.4375e+06,5.29843e+06
27,2.83352e+06,5.01461e+06
28,2.0863e+06,2.82194e+06
29,1.74245e+06,3.04678e+06
30,2.28851e+06,3.02309e+06
31,2.98728e+06,2.24006e+06
32,3.8772e+06,1.57869e+06
33,4.67022e+06,605568
34,4.67075e+06,1.25642e+06
35,3.30691e+06,854112
36,3.98304e+06,1.13794e+06
37,5.89136e+06,699824
38,4.26739e+06,1.16216e+06
39,3.97146e+06,924672
40,3.60338e+06,510256
41,3.85245e+06,687712
42,4.54122e+06,1.22114e+06
43,4.11363e+06,948368
44,4.07782e+06,995760
45,5.54856e+06,36336
46,8.59587e+06,0
47,8.93814e+06,0
48,8.78438e+06,0
49,7.10091e+06,0
50,4.77502e+06,0
