"Interval start","CUBIC","BBR"
0,1.14461e+07,0
1,9.514e+06,0
2,8.75288e+06,0
3,7.99176e+06,0
4,7.45898e+06,0
5,8.60066e+06,0
6,7.68731e+06,0
7,1.08079e+07,0
8,1.0199e+07,0
9,1.0884e+07,0
10,8.9051e+06,991632
11,7.68731e+06,1.52224e+06
12,6.01285e+06,1.2939e+06
13,5.02339e+06,3.72949e+06
14,6.39341e+06,1.52224e+06
15,6.92619e+06,1.14168e+06
16,2.81614e+06,5.02339e+06
17,4.03394e+06,5.55618e+06
18,4.18616e+06,3.12059e+06
19,2.13114e+06,7.15453e+06
20,4.49061e+06,2.5117e+06
21,5.93674e+06,3.1967e+06
22,3.65338e+06,3.42504e+06
23,2.20725e+06,8.60066e+06
24,4.03394e+06,6.16507e+06
25,3.57726e+06,1.52224e+06
26,5.93674e+06,1.67446e+06
27,5.63229e+06,1.67446e+06
28,5.63229e+06,1.67446e+06
29,3.8056e+06,3.57726e+06
30,2.96837e+06,3.34893e+06
31,2.35947e+06,6.08896e+06
32,4.4145e+06,5.17562e+06
33,5.32784e+06,2.05502e+06
34,3.88171e+06,1.97891e+06
35,2.89226e+06,2.13114e+06
36,3.65338e+06,2.05502e+06
37,5.25173e+06,3.88171e+06
38,3.95782e+06,4.26227e+06
39,2.5117e+06,4.87117e+06
40,2.89226e+06,6.16507e+06
41,5.78451e+06,3.04448e+06
42,7.6112e+06,1.6935e+06
43,1.05035e+07,0
44,1.14929e+07,0
45,6.62174e+06,0
46,7.83954e+06,0
47,6.77397e+06,0
48,7.45898e+06,0
49,6.92619e+06,0
50,2.68514e+06,0
