"Interval start","CUBIC_1","CUBIC_2"
0,1.05812e+07,0
1,9.05733e+06,0
2,9.97067e+06,0
3,1.18735e+07,0
4,1.05796e+07,0
5,9.514e+06,0
6,9.74234e+06,0
7,8.06787e+06,0
8,8.06787e+06,0
9,1.13407e+07,0
10,8.9051e+06,1.98056e+06
11,2.28336e+06,4.26227e+06
12,4.94728e+06,3.27282e+06
13,3.12059e+06,4.56672e+06
14,2.28336e+06,6.16507e+06
15,2.74003e+06,2.74003e+06
16,3.50115e+06,4.4145e+06
17,3.72949e+06,3.42504e+06
18,4.03394e+06,2.35947e+06
19,4.49061e+06,2.43558e+06
20,5.63229e+06,2.13114e+06
21,3.57726e+06,3.57726e+06
22,4.64283e+06,3.95782e+06
23,3.50115e+06,5.02339e+06
24,3.1967e+06,2.35947e+06
25,3.1967e+06,3.34893e+06
26,4.11005e+06,3.34893e+06
27,3.88171e+06,3.8056e+06
28,4.49061e+06,4.18616e+06
29,5.02339e+06,4.26227e+06
30,2.35947e+06,3.8056e+06
31,4.03394e+06,3.42504e+06
32,5.0995e+06,2.35947e+06
33,2.66392e+06,5.48006e+06
34,4.64283e+06,3.42504e+06
35,2.74003e+06,4.87117e+06
36,5.17562e+06,3.1967e+06
37,5.0995e+06,3.27282e+06
38,5.55618e+06,2.43558e+06
39,3.50115e+06,2.43558e+06
40,1.9028e+06,2.66392e+06
41,8.75288e+06,961184
42,1.08079e+07,0
43,1.07318e+07,0
44,8.06787e+06,0
45,8.98122e+06,0
46,1.0199e+07,0
47,1.03512e+07,0
48,1.06557e+07,0
49,1.06557e+07,0
50,2.85534e+06,0
