"Interval start","CUBIC_1","CUBIC_2","BBR"
0,1.02012e+07,0,0
1,9.36178e+06,0,0
2,1.13407e+07,0,0
3,8.9051e+06,0,0
4,1.11124e+07,0,0
5,9.13344e+06,0,0
6,6.85008e+06,0,0
7,7.99176e+06,0,0
8,1.03512e+07,0,0
9,1.05035e+07,0,0
10,1.02751e+07,0,0
11,1.12646e+07,0,0
12,1.05035e+07,0,0
13,9.59011e+06,0,0
14,9.66622e+06,0,0
15,8.37232e+06,0,0
16,1.00468e+07,0,0
17,9.97067e+06,0,0
18,7.76342e+06,0,0
19,9.13344e+06,0,0
20,7.6112e+06,1.44778e+06,0
21,2.43558e+06,4.87117e+06,0
22,3.42504e+06,4.79506e+06,0
23,3.42504e+06,3.65338e+06,0
24,4.64283e+06,3.65338e+06,0
25,3.57726e+06,6.46952e+06,0
26,3.72949e+06,4.49061e+06,0
27,3.04448e+06,4.26227e+06,0
28,4.49061e+06,2.20725e+06,0
29,3.27282e+06,4.18616e+06,0
30,2.43558e+06,4.79506e+06,0
31,3.34893e+06,3.04448e+06,0
32,4.33838e+06,3.95782e+06,0
33,5.86062e+06,2.96837e+06,0
34,3.34893e+06,3.65338e+06,0
35,3.27282e+06,3.34893e+06,0
36,4.4145e+06,3.88171e+06,0
37,3.57726e+06,4.03394e+06,0
38,4.94728e+06,3.8056e+06,0
39,2.43558e+06,3.57726e+06,0
40,5.40395e+06,1.82669e+06,1.14333e+06
41,1.67446e+06,2.20725e+06,1.21779e+06
42,2.96837e+06,1.97891e+06,837232
43,989456,1.97891e+06,2.58781e+06
44,2.66392e+06,1.97891e+06,1.06557e+06
45,3.34893e+06,3.50115e+06,685008
46,1.37002e+06,2.35947e+06,913344
47,2.05502e+06,1.44613e+06,837232
48,1.9028e+06,2.13114e+06,913344
49,4.18616e+06,989456,1.2939e+06
50,989456,2.05502e+06,989456
51,1.9028e+06,3.1967e+06,1.37002e+06
52,2.5117e+06,3.12059e+06,1.37002e+06
53,2.58781e+06,3.12059e+06,1.37002e+06
54,2.96837e+06,1.82669e+06,1.37002e+06
55,2.35947e+06,1.14168e+06,2.74003e+06
56,1.82669e+06,1.06557e+06,2.28336e+06
57,1.9028e+06,913344,1.14168e+06
58,2.58781e+06,2.58781e+06,1.2939e+06
59,1.97891e+06,2.96837e+06,2.58781e+06
60,2.05502e+06,3.57726e+06,380560
61,1.97891e+06,1.82669e+06,1.2939e+06
62,3.04448e+06,1.2939e+06,1.21779e+06
63,913344,1.52224e+06,1.2939e+06
64,1.37002e+06,1.9028e+06,1.2939e+06
65,3.04448e+06,2.66392e+06,913872
66,2.35947e+06,6.46952e+06,0
67,2.96837e+06,4.11005e+06,0
68,3.50115e+06,1.52224e+06,0
69,3.1967e+06,3.27282e+06,0
70,3.57726e+06,3.42504e+06,0
71,4.4145e+06,4.94728e+06,0
72,3.57726e+06,3.95782e+06,0
73,3.8056e+06,2.58781e+06,0
74,2.43558e+06,2.58781e+06,0
75,3.04448e+06,2.28336e+06,0
76,2.5117e+06,3.1967e+06,0
77,3.27282e+06,3.95782e+06,0
78,2.96837e+06,4.87117e+06,0
79,2.13114e+06,6.39341e+06,0
80,3.95782e+06,4.18616e+06,0
81,7.45898e+06,672288,0
82,8.14398e+06,0,0
83,8.06787e+06,0,0
84,1.14929e+07,0,0
85,1.11885e+07,0,0
86,1.10362e+07,0,0
87,1.19496e+07,0,0
88,1.23301e+07,0,0
89,1.25585e+07,0,0
90,9.97067e+06,0,0
91,9.66622e+06,0,0
92,1.00468e+07,0,0
93,9.81845e+06,0,0
94,1.17212e+07,0,0
95,9.97067e+06,0,0
96,1.0884e+07,0,0
97,1.12646e+07,0,0
98,1.08079e+07,0,0
99,1.0199e+07,0,0
100,1.34731e+06,0,0
