"Interval start","CUBIC_1","CUBIC_2","BBR"
0,5.37698e+06,0,0
1,7.30418e+06,0,0
2,5.31318e+06,0,0
3,4.88718e+06,0,0
4,4.4833e+06,0,0
5,4.74342e+06,0,0
6,4.69762e+06,0,0
7,5.07517e+06,0,0
8,4.55386e+06,0,0
9,5.16942e+06,0,0
10,4.83768e+06,0,0
11,5.16048e+06,0,0
12,4.5665e+06,0,0
13,4.29267e+06,0,0
14,5.08728e+06,0,0
15,5.32371e+06,0,0
16,4.99144e+06,0,0
17,4.93246e+06,0,0
18,4.89771e+06,0,0
19,5.02883e+06,0,0
20,4.87296e+06,299696,0
21,1.0279e+06,3.90459e+06,0
22,1.37123e+06,3.764e+06,0
23,4.34218e+06,955232,0
24,2.37594e+06,2.3296e+06,0
25,3.10893e+06,2.07894e+06,0
26,2.69398e+06,2.64606e+06,0
27,2.54181e+06,2.15056e+06,0
28,3.64394e+06,2.51706e+06,0
29,2.99098e+06,2.64923e+06,0
30,2.16214e+06,2.80088e+06,0
31,3.14526e+06,1.8699e+06,0
32,3.98726e+06,2.3433e+06,0
33,1.61766e+06,2.89619e+06,0
34,3.34694e+06,1.32437e+06,0
35,2.79299e+06,2.71874e+06,0
36,3.0152e+06,2.35224e+06,0
37,2.96622e+06,2.26957e+06,0
38,3.00573e+06,2.31854e+06,0
39,4.72078e+06,1.01738e+06,0
40,1.84304e+06,765664,2.81517e+06
41,290688,109008,5.19206e+06
42,133232,109008,5.86819e+06
43,84784,72672,4.74184e+06
44,145344,36336,5.40533e+06
45,12112,157456,6.28261e+06
46,145344,36336,6.78022e+06
47,0,109008,6.74494e+06
48,109008,24224,6.33053e+06
49,36336,72672,6.49587e+06
50,242240,156928,4.12522e+06
51,300160,72672,5.20365e+06
52,193792,337552,3.8535e+06
53,60560,204848,5.23946e+06
54,169568,193792,5.38163e+06
55,72672,169568,5.28685e+06
56,266464,60560,6.15202e+06
57,157456,36336,6.62646e+06
58,72672,48448,6.36634e+06
59,0,48448,6.06934e+06
60,265408,157456,4.07782e+06
61,504480,1.13216e+06,2.82246e+06
62,2.24587e+06,3.54968e+06,0
63,3.27374e+06,1.60819e+06,0
64,2.68398e+06,1.62189e+06,0
65,1.77406e+06,2.44544e+06,0
66,2.10264e+06,2.05472e+06,0
67,3.19318e+06,1.96258e+06,0
68,1.3112e+06,3.67922e+06,0
69,2.17584e+06,1.82146e+06,0
70,1.93677e+06,2.41122e+06,0
71,2.61448e+06,2.01314e+06,0
72,2.89778e+06,1.46707e+06,0
73,2.5455e+06,1.85674e+06,0
74,1.49024e+06,3.07312e+06,0
75,3.9641e+06,1.78195e+06,0
76,1.95522e+06,3.13474e+06,0
77,3.82086e+06,1.01526e+06,0
78,877840,3.53757e+06,0
79,2.10528e+06,2.64976e+06,0
80,1.53552e+06,3.53042e+06,0
81,3.74978e+06,0,0
82,3.97093e+06,0,0
83,4.44696e+06,0,0
84,4.42168e+06,0,0
85,4.78029e+06,0,0
86,5.35899e+06,0,0
87,5.79763e+06,0,0
88,5.57542e+06,0,0
89,7.32682e+06,0,0
90,5.76341e+06,0,0
91,4.79187e+06,0,0
92,5.83238e+06,0,0
93,6.60435e+06,0,0
94,5.86925e+06,0,0
95,4.9451e+06,0,0
96,5.78552e+06,0,0
97,4.7192e+06,0,0
98,4.68656e+06,0,0
99,6.60488e+06,0,0
100,1.96014e+06,0,0
