"Interval start","CUBIC","BBR"
0,10981,0
1,9913,0
2,11196,0
3,11924,0
4,9676,0
5,8254,0
6,9761,0
7,9297,0
8,9741,0
9,9519,0
10,9988,0
11,10068,0
12,10129,0
13,8950,0
14,9691,0
15,10535,0
16,11307,0
17,9182,0
18,10711,0
19,12054,0
20,5446,4725
21,798,10920
22,1645,9598
23,4897,4543
24,6722,3350
25,7424,2495
26,7458,3266
27,7033,4033
28,6823,5474
29,3465,7478
30,2521,10460
31,1600,11157
32,1000,10224
33,1130,9216
34,2599,9031
35,4211,7047
36,3655,7992
37,3412,10132
38,3912,8526
39,4844,6492
40,6289,3748
41,9230,0
42,11008,0
43,11952,0
44,11532,0
45,11649,0
46,10578,0
47,11075,0
48,12096,0
49,10195,0
50,10371,0
51,9253,0
52,10485,0
53,13185,0
54,11060,0
55,10978,0
56,11481,0
57,11372,0
58,11636,0
59,11965,0
60,1092,0
