Interval start,CUBIC_1,CUBIC_2
0,0,11383
1,0,8047
2,0,10247
3,0,9424
4,0,13164
5,0,12780
6,0,12211
7,0,12494
8,0,10306
9,0,10437
10,0,11133
11,0,10527
12,0,12075
13,0,12696
14,0,9399
15,0,8314
16,0,9359
17,0,10398
18,0,10124
19,0,9374
20,324,10638
21,4721,6529
22,6555,5291
23,5933,5196
24,5701,5592
25,5320,4961
26,6392,6515
27,5817,6809
28,4972,5427
29,6627,5071
30,7197,5901
31,5034,5844
32,5699,6480
33,6536,6306
34,6121,7321
35,5929,7048
36,5789,5572
37,4545,5235
38,5605,5165
39,5474,5096
40,5407,6710
41,0,10993
42,0,10141
43,0,9598
44,0,12209
45,0,10304
46,0,11157
47,0,9557
48,0,10988
49,0,13219
50,0,12673
51,0,10494
52,0,10219
53,0,11008
54,0,8293
55,0,10449
56,0,9962
57,0,9561
58,0,9833
59,0,9510
60,0,926
